# NOTA DE CORTE PROVAS RELATÓRIOS
0.0       0.000000       1.000000       
0.2       0.000000       1.000000       
1.1       0.000000       1.000000       
3.0       0.179256       0.820744       
3.2       0.695018       0.304982       
6.1       0.897815       0.102185       
6.3       1.000000       0.000000       
7.1       1.000000       0.000000       
8.5       1.000000       0.000000       
8.8       1.000000       0.000000       
9.3       1.000000       0.000000       
9.6       1.000000       0.000000       
