# NOTA DE CORTE  PROVAS RELATÓRIOS
0.0      -0.454422        1.4544200       
0.2      -0.260823        1.2608200       
1.1      -0.052136        1.0521400       
3.0       0.179256        0.8207440       
3.2       0.695018        0.3049820       
6.1       0.897815        0.1021850       
6.3       1.081570       -0.0815747       
7.1       1.353800       -0.3537990       
8.5       1.325910       -0.3259050       
8.8       1.180080       -0.1800770       
9.3       1.111110       -0.1111110       
9.6       1.000000        0.0000000       
