0       10       5       0       
0.2       10       5       0       
1.1       9       5       1       
3       11       3       1       
3.2       9       4       2       
6.1       9       2       4       
6.3       7       4       4       
7.1       7       4       4       
8.5       7       4       4       
8.8       7       4       4       
9.3       7       4       4       
9.6       9       2       4       
