0       0.1386       0.822417       0.453772       -0.414789       
0.2       1.14185       -0.347389       0.950513       -0.744971       
1.1       1.66639       -0.735138       0.824836       -0.756088       
3       1.31196       -0.805813       0.93091       -0.437053       
3.2       1.10159       -0.754942       0.789316       -0.135964       
6.1       1.5482       -0.826339       0.582674       -0.304536       
6.3       1.32118       -0.761471       0.469017       -0.0287221       
7.1       0.672257       -0.368195       0.0347192       0.661219       
8.5       0.42029       -0.167391       -0.113768       0.86087       
8.8       0.678161       0.0775862       -0.204023       0.448276       
9.3       0       0       -0       1       
